"*Channel Name","Product Name on Channel","Selling Price","*Channel Product id","*Channel SKU Code","Master SKU Code"
"AMAZON_IN","Nillkin Tempered Glass for Xiaomi Mi A2 A 2 / 6X 6 X Amazing H+ Pro Explosion Proof Screen Protect + Camera Film","0.00","","MiA2-57446","MiA2-57446"
"AMAZON_IN","Imago Premium Quality Tuberose Rajniganda Attar For Men & Women Long Lasting 12ml","0.00","","TuberoseRajnigandaylw12ml","TuberoseRajnigandaylw12ml"
"AMAZON_IN","Nillkin Case for Apple iPhone 8 Plus (5.5"" Inch) Nature Series Back Soft Flexible TPU White","0.00","","i8P-27791D-9","i8P-27791D-9"
"AMAZON_IN","Nillkin Screen Guard for Motorola Moto X4 Super Clear Scratch Proof Protect Whole Set Version Front + Back Camera Film + Camera Back Film","0.00","","MX4-51000-9","MX4-51000-9"
"AMAZON_IN","Nillkin Tempered Glass for Sony Xperia XZ Premium Amazing H+ Pro Explosion Proof Screen Protect + Clear Back Film + Camera Film","0.00","","XZP-42565D","XZP-42565D"
"AMAZON_IN","Anker PowerCore 10400mAh 2-Port Portable Charger/Power Bank with PowerIQ and VoltageBoost Technology for for iPhone, iPad, Samsung Galaxy (Black)","0.00","","A1214H11-BLK-2","A1214H11-BLK-2"
"AMAZON_IN","Imago Elegant Digital Printed Exclusive Formal Duffle Handheld Spacious Travel Hobo Bag Hobo Handbag Stylish Handbag Fashionable Girls & Women Handbag (Color Design Assorted, May differ from Image shown) Multi Print 24","0.00","","printed24","printed24"
"AMAZON_IN","Nillkin Case for Nokia 8 Sirocco Edition Super Frosted Hard Back Cover Hard PC Black Color","0.00","","Nok8S-56708-9","Nok8S-56708-9"
"AMAZON_IN","Nillkin Tempered Glass for ASUS Zenfone 5Z 5 Z ZS621KL Amazing H Explosion Proof Screen Protect + Camera Film","0.00","","5Z-57095D-9","5Z-57095D-9"
"AMAZON_IN","Nillkin Screen Guard for Asus Zenfone 3 5.5 Inch ZE552KL Super Clear Scratch Proof Protect","0.00","","Z3-48579","Z3-48579"
"AMAZON_IN","Nillkin Screen Guard for OnePlus 5 One Plus 5 (1+5) Whole Set Version Matte Anti Glare Front + Back Camera Film","0.00","","OP5-44484-9","OP5-44484-9"
"AMAZON_IN","Nillkin Tempered Glass for ASUS Zenfone 5Z 5 Z ZS621KL Amazing H Explosion Proof Screen Protect + Camera Film","0.00","","5Z-57095","5Z-57095"
"AMAZON_IN","Nillkin Case for ASUS Zenfone 5Z 5 Z ZS621KL Super Frosted Hard Back Cover Hard PC Black Color","0.00","","5Z-57101D-9","5Z-57101D-9"
"AMAZON_IN","Nillkin Tempered Glass for Huawei Honor P20 Pro Amazing H+ Pro Explosion Proof Screen Protect + Camera Film","0.00","","P20P-55749-9","P20P-55749-9"
"AMAZON_IN","Nillkin Screen Guard for Apple iPhone 8 Plus (5.5"" Inch) Super Clear Scratch Proof Protect","0.00","","i8P-27087","i8P-27087"
"AMAZON_IN","Imago Battery For Samsung Galaxy Note 3 Neo EB-BN750BBC - Note-3 Neo (N750) 3100 mAh","0.00","","note3neos","note3neos"
"AMAZON_IN","Imago 1700 mAh Battery for Micromax Canvas A-1 AQ4501 A 1 (Multicolour)","0.00","","A1","A1"
"AMAZON_IN","Just Mobile QuattroTM Back The exquisite leather case for the new iPhone 6 & 6s - Pink","0.00","","LC-168PK","LC-168PK"
"AMAZON_IN","Anker Most Compact 20000mAh Portable Charger PowerCore 20100 Ultra High Capacity Universal Power Bank with 4.8A Output, PowerIQ Technology (Black)","0.00","","A1271H12-BLK-3","A1271H12-BLK-3"
"AMAZON_IN","Nillkin Tempered Glass for LG G7 G 7 + Plus ThinQ Amazing H+ Pro Explosion Proof Screen Protect + Camera Film","0.00","","G7P-58610D","G7P-58610D"
"AMAZON_IN","Nillkin Nature Series Back Soft Flexible TPU Case for Xiaomi Redmi Note 5 Pro (White)","0.00","","RN5P-55695D","RN5P-55695D"
"AMAZON_IN","Nillkin Tempered Glass for Huawei Honor P20 Pro Amazing H+ Pro Explosion Proof Screen Protect + Camera Film","0.00","","P20P-55749","P20P-55749"
"AMAZON_IN","Nillkin Case for Nokia 6.1 Plus / X6 X 6 Super Frosted Hard Back Cover Hard PC White Color","0.00","","Nok6.1P-58573D","Nok6.1P-58573D"
"AMAZON_IN","Nillkin Case for Samsung Galaxy A8 Star Qin Genuine Classic Leather Flip Folio Black Color","0.00","","A8Star-62396D","A8Star-62396D"
"AMAZON_IN","Nillkin Screen Guard for Samsung Galaxy A8 Star Super Clear Scratch Proof Protect Simple Set Version","0.00","","A8Star-23265","A8Star-23265"
"AMAZON_IN","Prolink Mini Dp - Hdmi Convertor (For Macbooks)","0.00","","MP352","MP352"
"AMAZON_IN","Nillkin Tempered Glass for Samsung Galaxy A8 Star Amazing H+ Pro Explosion Proof Screen Protect + Camera Film","0.00","","A8Star-60378","A8Star-60378"
"AMAZON_IN","Original Nillkin 0.6MM Nature Soft TPU Back Cover Case for Samsung Galaxy Note 7 - ( White / Transparent Color )","0.00","","Note7-26251","Note7-26251"
"AMAZON_IN","Nillkin Screen Guard for Sony Xperia XZs Dual Super Clear Scratch Proof Protect Whole Set Version Front Screen Guard + Back Guard + Camera Film","0.00","","XZs-31651-2D","XZs-31651-2D"
